what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734352800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734353498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734356472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734361154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734363912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734366127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734368462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734371824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734372410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734376992
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314734381295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734381629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734382252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734385624
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314734388394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734388748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734389498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734392593
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314734396211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734396645
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734397240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734400693
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314734405501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734405972
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314734407823
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734408165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734409491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734409708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734410392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734413465
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314734417794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734418304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734419152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314734422690
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1314734424829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314734426227
